Metal,Halide,Ligand,Type,
Pb++,Br,CNCc1cccc(Br)c1,100,
Pb++,I,NCCC#N,100,
Pb++,Br,Brc1cccnc1,100,
Pb++,Cl,NCc1ccc(F)cc1,100,
Pb++,Cl,NCC1CCC(CN)CC1,100,
Pb++,I,NCCN,100,
Pb++,Cl,NCCCC,100,
Pb++,Br,NCc1cccs1,100,
Pb++,Cl,NCc1cccs1,100,
Pb++,Br,CCCCC#CC#CCCN,100,
Pb++,Br,CC(CN)CCCN,100,
Pb++,I,CCCCCCCCCCCCCCCCN,100,
Pb++,I,NCCCCOc1cccc2ccccc12,100,
Pb++,Cl,NCCCN,100,
Pb++,I,CNc1cccc(F)c1,100,
Pb++,Cl,NCCSSCCN,100,
Pb++,Cl,NCCCCCCN,100,
Pb++,Br,NCCCCC(O)=O,100,
Pb++,Cl,C1CCNCC1,100,
Pb++,I,Cc1ccsc1c2sc(cc2)c3sc(cc3C)c4sc(CCN)cc4,100,
Pb++,Br,C1CCNCC1,100,
Pb++,I,NCCCl,100,
Pb++,Br,NCCc1ccncc1,100,
Pb++,I,NCCc1ncccc1,100,
Pb++,I,NCCc1cnccc1,100,
Pb++,I,NCCc1ccncc1,100,
Pb++,I,CNc1ccccc1,100,
Pb++,Cl,Cc1ccc(CN)cc1,100,
Pb++,Br,Cc1ccc(CN)cc1,100,
Pb++,I,Cc1ccc(CN)cc1,100,
Pb++,I,CNc1ccc(OC)cc1,100,
Pb++,I,Nc1ccc(Cl)cc1,100,
Pb++,I,Nc1ccc(Br)cc1,100,
Pb++,I,NCCc1cc(Cl)cc(Cl)c1,100,
Pb++,I,NCCc1cc(Br)cc(Br)c1,100,
Pb++,I,NCCc1cc(C)cc(C)c1,100,
Pb++,I,NCCc1ccccc1Br,100,
Pb++,Cl,NCCCC(O)=O,100,
Pb++,I,NCCSc1sc(cc1)c2sccc2,100,
Pb++,Br,NCCc1c[nH]cn1,100,
Pb++,Br,NCCc1[nH]ccn1,100,
Pb++,Cl,NCCNC,100,
Pb++,I,C1CCC(C(C1)N)N,100,
Pb++,I,COC1=CC=C(C=C1)CCN,100,
Pb++,I,NCCc1sc(cc1)c2sc(cc2)c3sc(cc3)c4sccc4,100,
Pb++,I,CNCCCNC,100,
Pb++,I,NCCN1CCNCC1,100,
Pb++,I,NCCc1cccnc1,100,
Pb++,Br,NCCCc1ccccc1,100,
Pb++,Br,CNN,100,
Pb++,I,NCCCc1sc(cc1)c2sccc2,0,
Pb++,Br,NCCCc1sc(cc1)c2sccc2,100,
Pb++,Cl,NCCCc1sc(cc1)c2sccc2,100,
Pb++,I,NCc1c(F)c(F)c(CN)c(F)c1F,100,
Pb++,Br,NC1CCOCC1,100,
Pb++,I,NCC(O)=O,0,
Pb++,I,NCCC(O)=O,100,
Pb++,I,NCCCC(O)=O,100,
Pb++,I,NCCCCC(O)=O,100,
Pb++,I,Cc1ccsc1c2ccc(c3NSNc23)c4sc(cc4C)c5sc(CCN)cc5,100,
Pb++,Br,C[N+](C)(C)CN,100,
Pb++,I,COc1ccc(CCN)cc1,100,
Pb++,Cl,CCOc1nnc(OCCN)nn1,100,
Pb++,Br,COCCCN,100,
Pb++,I,NCCc1cccc(F)c1,100,
Pb++,I,Nc1c(F)c(F)c(N)c(F)c1F,100,
Pb++,Br,CN(C)c1ccc(cc1)N(C)C,100,
Pb++,I,NC(N)=S,100,
Pb++,I,NCCC1CCCCN1,100,
Pb++,I,Nc1cccc(N)c1,100,
Pb++,I,CC(N)=N,100,
Pb++,Br,CCCNc1ccccc1,100,
Pb++,Br,NCc1ccc(Cl)cc1F,100,
Pb++,I,Cc1cccc(CCN)c1,100,
Pb++,I,NCc1ccc(CN)cc1,100,
Pb++,I,FC1(F)CCNC1,100,
Pb++,I,FC1CCNC1,100,
Pb++,I,CC(N)c1ccc(C)cc1,100,
Pb++,I,CC(CN)c1ccccc1,100,
Pb++,I,CC(N)c1ccc(Br)cc1,100,
Pb++,I,NC(=N)c1cccnc1,100,
Pb++,Br,NC(=N)c1cccnc1,100,
Pb++,Cl,NC(=N)c1cccnc1,100,
Pb++,I,NCCC,100,
Pb++,I,CC(I)CN,100,
Pb++,I,NCC=C,110,
Pb++,Br,NC1CCCCC1N,100,
Pb++,I,CCCCCCCCCCCN,100,* Step–like
Pb++,I,CCCCCCCCCCCCCN,100,
Pb++,I,CCCCCCCCCCCCCCCN,100,
Pb++,Br,NCCc1ccc(F)cc1,100,
Pb++,I,NCC1CCCCC1,100,
Pb++,I,NCCc1cc2cccc3ccc4cccc1c4c23,100,
Pb++,Br,CCCN1CCNCC1,100,
Pb++,Br,Nc1cccc(N)c1,100,
Pb++,Br,Nc1ccc(N)cc1,100,
Pb++,Br,NCc1ccc(CN)cc1,100,
Pb++,Br,NC=N,110,
Mn++,Cl,NCCC,100,
Cu++,Br,NCc1cccnc1,100,
Cu++,Cl,NCC,100,
Cu++,Cl,NCCOCCOCCN,100,
Cu++,Cl,NCCCC,100,
Cu++,Cl,NCCCCN,100,
Mn++,Cl,NCCc1ccccc1,100,
Mn++,Cl,NCCCN,100,
Cu++,Cl,NCCc1ccccc1,100,
Cu++,Cl,NCCCCCC,100,
Cu++,Br,NCCC(O)=O,100,
Cu++,Cl,NCCC,100,
Mn++,Cl,NCC,100,
Cu++,Cl,NC,100,
Mn++,Cl,NC,100,
Cu++,Cl,Nc1cccnc1,100,
Cu++,Br,Nc1cccnc1,100,
Cu++,Cl,N,100,
Cu++,Cl,NCCCN,100,
Cu++,Br,Nc1ccc(Cl)cc1,100,
Cu++,Br,NCCN,100,
Cu++,Br,NCCCN,100,
Cu++,Br,NCCc1ccccc1,100,
Cu++,Cl,NCCCCN,100,
Cu++,Br,NCCCCN,100,
Cu++,Cl,NCCCCCN,100,
Cu++,Br,NCCCCCN,100,
Cu++,Cl,Nc1ccc(N)cc1,100,
Cu++,Cl,Nc1ccc(cc1)c2ccccc2,100,
Cu++,Cl,Nc1ccc(cc1)c2ccc(N)cc2,100,
Cu++,Cl,NCCN,100,
Cu++,Cl,NCCCl,100,
Cu++,Cl,CC(CN)c1ccccc1,100,
Pb++,Cl,NCCc1c[nH]cn1,100,
Pb++,Br,NCCc1c[nH]cn1,100,
Pb++,I,NCCc1c[nH]cn1,100,
Cu++,Cl,NCCc1c[nH]cn1,100,
Pb++,Cl,NCCS,100,
Pb++,Br,NCCS,100,
Cu++,Cl,NCCS,100,
Pb++,Br,NCCOCCOCCN,110,
Pb++,Cl,NCCC(O)=O,100,
Pb++,Br,NCCC(O)=O,100,
Pb++,Br,NCCCSC,100,
Pb++,Br,NCCSC,100,
Pb++,I,NCCCc1ncc[nH]1,110,
Pb++,Cl,c1cncc[n+]1,110,
Cu++,Br,NCC[S](O)(=O)=O,100,
Pb++,Br,CNCCN,110,
Pb++,I,CNCCN,110,
